noise_pct,method,r2_noisy,r2_clean,n_active,coeff_V,coeff_SdVdS,coeff_S2d2VdS2,rel_err_V,rel_err_SdVdS,rel_err_S2d2VdS2,max_rel_err,mean_rel_err,correct_structure
0.02,neural,0.8852045451193924,0.8112735439359221,5,0.02091604542301421,-0.15805167537654244,-0.009693855590448018,0.5816790915397158,2.1610335075308487,0.5153072204775991,2.1610335075308487,1.0860066065160545,False
0.02,weak,0.9128915830913501,0.8950036734327652,5,0.21039918596741894,0.025604262013881197,0.010020675409701143,3.2079837193483782,1.5120852402776241,1.501033770485057,3.2079837193483782,2.0737009100370196,False
0.03,fd,0.011991639305568569,0.7164648959242954,4,-0.13979709986522254,0.24595835530866084,0.0,3.7959419973044506,5.919167106173216,1.0,5.919167106173216,3.5717030344925553,False
0.03,savgol,0.38269021397565106,0.8712527544359677,4,-0.04751961760633819,0.23144948897934933,0.0,1.9503923521267637,5.628989779586987,1.0,5.628989779586987,2.8597940439045835,False
0.03,neural,0.8880122825157561,0.7392394474661257,5,-0.06447730181621862,-0.16423382768848196,-0.01845657546918292,2.2895460363243725,2.284676553769639,0.07717122654085412,2.2895460363243725,1.5504646055449554,False
0.03,weak,0.8840344877310027,0.8913137322497047,5,0.20527970810065682,0.037666566752850725,0.009973198784144644,3.1055941620131366,1.7533313350570146,1.4986599392072322,3.1055941620131366,2.1191951454257945,False
0.05,fd,-0.0014494770846242844,0.40491947260068617,4,-0.1644694927624578,0.16412431359693097,0.0,4.289389855249156,4.282486271938619,1.0,4.289389855249156,3.190625375729258,False
0.05,savgol,0.19091129421141262,0.8464377829205354,4,-0.07891240627538033,0.2677317879955516,0.0,2.5782481255076064,6.354635759911031,1.0,6.354635759911031,3.3109612951395455,False
0.05,neural,0.8949627280705132,0.5573905698971843,5,-0.20624525133193966,-0.17392953819502713,-0.03329184607327632,5.1249050266387925,2.4785907639005424,0.6645923036638158,5.1249050266387925,2.7560293647343834,False
0.05,weak,0.8087116555090094,0.8853246902056537,5,0.18554035765974175,0.06441035562286898,0.009970266662771619,2.710807153194835,2.2882071124573797,1.498513333138581,2.710807153194835,2.1658425329302653,False
0.07,fd,-0.00304424263628289,0.009595692195977668,4,-0.1742956667993371,0.09379726767770963,0.0,4.485913335986742,2.8759453535541923,1.0,4.485913335986742,2.7872862298469783,False
0.07,savgol,0.10619348473158008,0.834666591236344,4,-0.10382544007453479,0.2849817589797461,0.0,3.076508801490696,6.699635179594921,1.0,6.699635179594921,3.5920479936952057,False
0.07,neural,0.9014784465001878,0.36925102476798455,5,-0.31223873003524666,-0.18248768197361154,-0.04471582014720851,7.2447746007049325,2.6497536394722307,1.2357910073604252,7.2447746007049325,3.7101064158458628,False
