kernel,edge_idx,x_eval,activation
RBF,1,0.8492462038993835,0.7005259990692139
RBF,0,0.8592965006828308,-1.2246249914169312
RBF,1,0.8592965006828308,0.701515257358551
RBF,0,0.8693467378616333,-1.2303471565246582
RBF,1,0.8693467378616333,0.7024715542793274
RBF,0,0.8793969750404358,-1.2356829643249512
RBF,1,0.8793969750404358,0.7033848762512207
RBF,0,0.8894472122192383,-1.2405972480773926
RBF,1,0.8894472122192383,0.7042452692985535
RBF,0,0.8994975090026855,-1.2450542449951172
RBF,1,0.8994975090026855,0.7050427198410034
RBF,0,0.909547746181488,-1.2490191459655762
RBF,1,0.909547746181488,0.7057673335075378
RBF,0,0.9195979833602905,-1.2524560689926147
RBF,1,0.9195979833602905,0.7064090967178345
RBF,0,0.929648220539093,-1.2553300857543945
RBF,1,0.929648220539093,0.7069580554962158
RBF,0,0.9396985173225403,-1.2576056718826294
RBF,1,0.9396985173225403,0.7074043154716492
RBF,0,0.9497487545013428,-1.2592473030090332
RBF,1,0.9497487545013428,0.7077378034591675
RBF,0,0.9597989916801453,-1.2602195739746094
RBF,1,0.9597989916801453,0.7079485058784485
RBF,0,0.9698492288589478,-1.2604875564575195
RBF,1,0.9698492288589478,0.708026647567749
RBF,0,0.979899525642395,-1.2600154876708984
RBF,1,0.979899525642395,0.7079620361328125
RBF,0,0.9899497628211975,-1.2587683200836182
RBF,1,0.9899497628211975,0.707744836807251
RBF,0,1.0,-1.256710171699524
RBF,1,1.0,0.7073651552200317
Matern32,0,-1.0,2.481724262237549
Matern32,1,-1.0,0.36495476961135864
Matern32,0,-0.9899497628211975,2.4721198081970215
Matern32,1,-0.9899497628211975,0.3649241328239441
Matern32,0,-0.979899525642395,2.4609313011169434
Matern32,1,-0.979899525642395,0.364909291267395
Matern32,0,-0.9698492288589478,2.448119878768921
Matern32,1,-0.9698492288589478,0.3649083971977234
Matern32,0,-0.9597989916801453,2.4336483478546143
Matern32,1,-0.9597989916801453,0.36491942405700684
Matern32,0,-0.9497487545013428,2.4174773693084717
Matern32,1,-0.9497487545013428,0.364940881729126
Matern32,0,-0.9396985173225403,2.399569511413574
Matern32,1,-0.9396985173225403,0.36497050523757935
Matern32,0,-0.929648220539093,2.37988543510437
Matern32,1,-0.929648220539093,0.36500653624534607
Matern32,0,-0.9195979833602905,2.3583877086639404
Matern32,1,-0.9195979833602905,0.3650471270084381
Matern32,0,-0.909547746181488,2.3350374698638916
Matern32,1,-0.909547746181488,0.36509042978286743
Matern32,0,-0.8994975090026855,2.3097965717315674
Matern32,1,-0.8994975090026855,0.3651345372200012
Matern32,0,-0.8894472122192383,2.282625913619995
Matern32,1,-0.8894472122192383,0.36517754197120667
Matern32,0,-0.8793969750404358,2.253488302230835
Matern32,1,-0.8793969750404358,0.36521753668785095
Matern32,0,-0.8693467378616333,2.2223446369171143
Matern32,1,-0.8693467378616333,0.36525270342826843
Matern32,0,-0.8592965006828308,2.189157009124756
Matern32,1,-0.8592965006828308,0.36528128385543823
Matern32,0,-0.8492462038993835,2.1538867950439453
Matern32,1,-0.8492462038993835,0.3653012216091156
Matern32,0,-0.839195966720581,2.1164963245391846
Matern32,1,-0.839195966720581,0.3653106391429901
Matern32,0,-0.8291457295417786,2.0769457817077637
Matern32,1,-0.8291457295417786,0.3653077781200409
Matern32,0,-0.8190954923629761,2.035198211669922
Matern32,1,-0.8190954923629761,0.3652906119823456
