l1_weight,edge_idx,x_eval,activation
0.01,1,-0.8994975090026855,0.3562423884868622
0.01,0,-0.8894472122192383,2.2857933044433594
0.01,1,-0.8894472122192383,0.3604884445667267
0.01,0,-0.8793969750404358,2.2572379112243652
0.01,1,-0.8793969750404358,0.3637583255767822
0.01,0,-0.8693467378616333,2.226621150970459
0.01,1,-0.8693467378616333,0.3661346733570099
0.01,0,-0.8592965006828308,2.193909168243408
0.01,1,-0.8592965006828308,0.3677000105381012
0.01,0,-0.8492462038993835,2.159069061279297
0.01,1,-0.8492462038993835,0.3685368597507477
0.01,0,-0.839195966720581,2.122066020965576
0.01,1,-0.839195966720581,0.3687276840209961
0.01,0,-0.8291457295417786,2.082867383956909
0.01,1,-0.8291457295417786,0.36835506558418274
0.01,0,-0.8190954923629761,2.041437864303589
0.01,1,-0.8190954923629761,0.36750146746635437
0.01,0,-0.8090452551841736,1.9977452754974365
0.01,1,-0.8090452551841736,0.3662495017051697
0.01,0,-0.7989949584007263,1.9517544507980347
0.01,1,-0.7989949584007263,0.364681601524353
0.01,0,-0.7889447212219238,1.903432846069336
0.01,1,-0.7889447212219238,0.36288031935691833
0.01,0,-0.7788944840431213,1.8527458906173706
0.01,1,-0.7788944840431213,0.36092814803123474
0.01,0,-0.7688442468643188,1.7996602058410645
0.01,1,-0.7688442468643188,0.35890769958496094
0.01,0,-0.7587939500808716,1.7441412210464478
0.01,1,-0.7587939500808716,0.3569013476371765
0.01,0,-0.7487437129020691,1.6861565113067627
0.01,1,-0.7487437129020691,0.35499170422554016
0.01,0,-0.7386934757232666,1.6257351636886597
0.01,1,-0.7386934757232666,0.3532402217388153
0.01,0,-0.7286432385444641,1.5630825757980347
0.01,1,-0.7286432385444641,0.3516497015953064
0.01,0,-0.7185929417610168,1.498434066772461
0.01,1,-0.7185929417610168,0.3502136468887329
0.01,0,-0.7085427045822144,1.43202543258667
0.01,1,-0.7085427045822144,0.34892478585243225
0.01,0,-0.6984924674034119,1.364091396331787
0.01,1,-0.6984924674034119,0.3477763831615448
0.01,0,-0.6884422302246094,1.2948681116104126
0.01,1,-0.6884422302246094,0.34676170349121094
0.01,0,-0.6783919334411621,1.2245897054672241
0.01,1,-0.6783919334411621,0.3458735942840576
0.01,0,-0.6683416962623596,1.1534926891326904
0.01,1,-0.6683416962623596,0.3451053202152252
0.01,0,-0.6582914590835571,1.0818121433258057
0.01,1,-0.6582914590835571,0.344449907541275
0.01,0,-0.6482412219047546,1.0097832679748535
0.01,1,-0.6482412219047546,0.34390050172805786
0.01,0,-0.6381909251213074,0.9376413226127625
0.01,1,-0.6381909251213074,0.34345030784606934
0.01,0,-0.6281406879425049,0.8656219840049744
0.01,1,-0.6281406879425049,0.3430922329425812
0.01,0,-0.6180904507637024,0.7939605116844177
0.01,1,-0.6180904507637024,0.3428194224834442
0.01,0,-0.6080402135848999,0.7228923439979553
0.01,1,-0.6080402135848999,0.34262514114379883
0.01,0,-0.5979899764060974,0.6526526212692261
0.01,1,-0.5979899764060974,0.3425023853778839
0.01,0,-0.5879396796226501,0.5834765434265137
0.01,1,-0.5879396796226501,0.3424442708492279
0.01,0,-0.5778894424438477,0.5156002044677734
0.01,1,-0.5778894424438477,0.3424438536167145
0.01,0,-0.5678392052650452,0.4492584466934204
0.01,1,-0.5678392052650452,0.3424944281578064
0.01,0,-0.5577889680862427,0.3846867084503174
0.01,1,-0.5577889680862427,0.342588871717453
0.01,0,-0.5477386713027954,0.32212015986442566
0.01,1,-0.5477386713027954,0.3427204191684723
0.01,0,-0.5376884341239929,0.2617945075035095
0.01,1,-0.5376884341239929,0.34288206696510315
0.01,0,-0.5276381969451904,0.2039450854063034
0.01,1,-0.5276381969451904,0.34306710958480835
0.01,0,-0.5175879597663879,0.14880721271038055
0.01,1,-0.5175879597663879,0.34326842427253723
0.01,0,-0.5075376629829407,0.09661580622196198
0.01,1,-0.5075376629829407,0.34347930550575256
0.01,0,-0.4974874258041382,0.04760606586933136
0.01,1,-0.4974874258041382,0.343692809343338
0.01,0,-0.4874371886253357,0.0018985122442245483
0.01,1,-0.4874371886253357,0.3439164161682129
0.01,0,-0.4773869216442108,-0.04060637205839157
0.01,1,-0.4773869216442108,0.3441842794418335
0.01,0,-0.4673366844654083,-0.08003309369087219
0.01,1,-0.4673366844654083,0.34453392028808594
0.01,0,-0.45728641748428345,-0.11650671064853668
0.01,1,-0.45728641748428345,0.3450029492378235
0.01,0,-0.44723618030548096,-0.15015172958374023
0.01,1,-0.44723618030548096,0.3456287980079651
0.01,0,-0.43718594312667847,-0.1810930371284485
0.01,1,-0.43718594312667847,0.3464489281177521
0.01,0,-0.4271356761455536,-0.20945551991462708
0.01,1,-0.4271356761455536,0.34750109910964966
0.01,0,-0.4170854389667511,-0.23536375164985657
0.01,1,-0.4170854389667511,0.3488224446773529
0.01,0,-0.4070351719856262,-0.2589426636695862
0.01,1,-0.4070351719856262,0.35045087337493896
0.01,0,-0.39698493480682373,-0.28031688928604126
0.01,1,-0.39698493480682373,0.3524235188961029
0.01,0,-0.38693466782569885,-0.29961133003234863
0.01,1,-0.38693466782569885,0.3547781705856323
0.01,0,-0.37688443064689636,-0.3169506788253784
0.01,1,-0.37688443064689636,0.3575522005558014
0.01,0,-0.3668341636657715,-0.3324597179889679
0.01,1,-0.3668341636657715,0.36078310012817383
0.01,0,-0.356783926486969,-0.34626322984695435
0.01,1,-0.356783926486969,0.36450842022895813
0.01,0,-0.3467336595058441,-0.3584859371185303
0.01,1,-0.3467336595058441,0.3687657117843628
0.01,0,-0.3366834223270416,-0.36925268173217773
0.01,1,-0.3366834223270416,0.37359246611595154
0.01,0,-0.32663315534591675,-0.3786882162094116
0.01,1,-0.32663315534591675,0.3790261149406433
0.01,0,-0.31658291816711426,-0.3869172930717468
0.01,1,-0.31658291816711426,0.3851042091846466
0.01,0,-0.3065326511859894,-0.394064724445343
0.01,1,-0.3065326511859894,0.3918643593788147
0.01,0,-0.2964824140071869,-0.4002552032470703
0.01,1,-0.2964824140071869,0.39934393763542175
